common_name,scientific_name,variety_name,days_to_germination_min,days_to_germination_max,days_to_harvest,spacing_inches,row_spacing_inches,sun_requirement,water_requirement,description,growing_notes,photo_url,tags
Lettuce - Leaf,Lactuca sativa,Black Seeded Simpson,2,7,45,6,12,partial_sun,high,Loose-leaf lettuce for cut-and-come-again,Can harvest outer leaves continuously,,"vegetable,leafy,cool_season,annual"
Spinach,Spinacia oleracea,Bloomsdale,5,14,40,3,12,partial_sun,medium,Nutritious leafy green with savoyed leaves,Cool season crop. Bolts in heat.,,"vegetable,leafy,cool_season,annual"
Kale - Curly,Brassica oleracea,Winterbor,5,10,55,12,18,full_sun,medium,"Hardy, nutritious green",Frost tolerant. Sweeter after frost.,,"vegetable,leafy,cool_season,biennial,cold_hardy"
Kale - Lacinato,Brassica oleracea,Dinosaur,5,10,60,12,18,full_sun,medium,"Italian heirloom kale with dark, bumpy leaves",Also called Tuscan kale. Very cold hardy.,,"vegetable,leafy,cool_season,biennial,cold_hardy,heirloom"
Swiss Chard,Beta vulgaris,Bright Lights,7,14,55,6,18,full_sun,medium,Colorful stems and nutritious greens,Cut-and-come-again. Heat and cold tolerant.,,"vegetable,leafy,cool_season,biennial"
Arugula,Eruca vesicaria,Rocket,3,7,35,4,8,partial_sun,medium,Peppery salad green,Quick growing. Bolts in heat. Succession plant.,,"vegetable,leafy,cool_season,annual"
Collard Greens,Brassica oleracea,Georgia Southern,5,10,70,18,24,full_sun,medium,Large-leaved cooking green,Very cold hardy. Improves with frost.,,"vegetable,leafy,cool_season,biennial,cold_hardy"
Mustard Greens,Brassica juncea,Southern Giant Curled,3,7,45,6,12,full_sun,medium,"Spicy, frilly greens",Fast growing. Good for cut-and-come-again.,,"vegetable,leafy,cool_season,annual"
Carrot - Nantes,Daucus carota,Scarlet Nantes,10,21,70,2,12,full_sun,medium,"Sweet, cylindrical carrots","Direct sow, thin seedlings. Needs loose soil.",,"vegetable,root,cool_season,biennial"
Carrot - Imperator,Daucus carota,Imperator,10,21,75,2,12,full_sun,medium,"Long, tapered carrots","Needs deep, loose soil. Commercial type.",,"vegetable,root,cool_season,biennial"
Radish - Cherry Belle,Raphanus sativus,Cherry Belle,3,7,25,2,6,full_sun,medium,Fast-growing red radishes,"Quick crop, great for beginners",,"vegetable,root,cool_season,annual"
Radish - Daikon,Raphanus sativus,Miyashige,3,7,50,4,12,full_sun,medium,Large white Asian radish,Also used as cover crop for soil improvement.,,"vegetable,root,cool_season,annual,cover_crop"
Beet - Detroit Dark Red,Beta vulgaris,Detroit Dark Red,5,10,55,3,12,full_sun,medium,Classic deep red beet,Edible greens and roots. Thin seedlings.,,"vegetable,root,cool_season,biennial"
Beet - Golden,Beta vulgaris,Golden Detroit,5,10,55,3,12,full_sun,medium,Yellow beet that doesn't stain,Sweet flavor. Greens edible.,,"vegetable,root,cool_season,biennial"
Turnip - Purple Top,Brassica rapa,Purple Top White Globe,3,7,50,4,12,full_sun,medium,Classic turnip with purple shoulders,Both roots and greens edible. Cold hardy.,,"vegetable,root,cool_season,biennial,cold_hardy"
Rutabaga,Brassica napus,American Purple Top,5,10,90,6,18,full_sun,medium,"Large, sweet root vegetable",Improves with frost. Stores well.,,"vegetable,root,cool_season,biennial,cold_hardy"
Parsnip,Pastinaca sativa,Hollow Crown,14,28,110,3,18,full_sun,medium,"Sweet root vegetable, like white carrot",Very slow germination. Sweeter after frost.,,"vegetable,root,cool_season,biennial,cold_hardy"
Potato - Russet,Solanum tuberosum,Russet Burbank,14,21,90,12,30,full_sun,medium,Classic baking potato,Plant seed potatoes. Hill soil as plants grow.,,"vegetable,tuber,cool_season,annual"
Potato - Yukon Gold,Solanum tuberosum,Yukon Gold,14,21,80,12,30,full_sun,medium,Yellow-fleshed all-purpose potato,Earlier than russets. Good for boiling.,,"vegetable,tuber,cool_season,annual"
Sweet Potato,Ipomoea batatas,Beauregard,0,0,100,12,36,full_sun,medium,Orange-fleshed sweet potato,"Plant slips, not seeds. Warm season crop.",,"vegetable,tuber,warm_season,annual"
Onion - Yellow,Allium cepa,Yellow Sweet Spanish,7,14,110,4,12,full_sun,medium,"Large, mild yellow onion",Long-day variety. Stores well.,,"vegetable,bulb,cool_season,biennial"
Onion - Red,Allium cepa,Red Wing,7,14,110,4,12,full_sun,medium,Red storage onion,Good for fresh eating and storage.,,"vegetable,bulb,cool_season,biennial"
Garlic - Hardneck,Allium sativum,German Extra Hardy,0,0,240,6,12,full_sun,medium,Cold-hardy garlic with scapes,Plant cloves in fall. Harvest following summer.,,"vegetable,bulb,cool_season,perennial,cold_hardy"
Cucumber - Slicing,Cucumis sativus,Straight Eight,3,10,55,12,60,full_sun,high,Fresh eating cucumbers,Provide trellis for vertical growing,,"vegetable,fruiting,warm_season,annual"
Cucumber - Pickling,Cucumis sativus,Boston Pickling,3,10,50,12,60,full_sun,high,Short cucumbers ideal for pickling,Very productive. Pick frequently.,,"vegetable,fruiting,warm_season,annual"
Zucchini,Cucurbita pepo,Black Beauty,3,7,45,24,36,full_sun,medium,Prolific summer squash,Very productive. Harvest when 6-8 inches.,,"vegetable,fruiting,warm_season,annual"
Yellow Squash,Cucurbita pepo,Early Prolific Straightneck,3,7,50,24,36,full_sun,medium,Classic yellow summer squash,Pick young for best flavor.,,"vegetable,fruiting,warm_season,annual"
Butternut Squash,Cucurbita moschata,Waltham Butternut,5,10,85,36,60,full_sun,medium,"Sweet winter squash, great for storage",Cure for 2 weeks before storage. Stores months.,,"vegetable,fruiting,warm_season,annual"
Acorn Squash,Cucurbita pepo,Table Queen,5,10,75,36,60,full_sun,medium,"Small winter squash, dark green with ridges",Harvest when skin is hard. Stores well.,,"vegetable,fruiting,warm_season,annual"
Pumpkin - Pie,Cucurbita pepo,Small Sugar,5,10,100,36,72,full_sun,medium,"Small, sweet pumpkin for baking",5-7 lb fruits. Perfect for pies.,,"vegetable,fruiting,warm_season,annual"
Pumpkin - Carving,Cucurbita pepo,Connecticut Field,5,10,110,48,96,full_sun,medium,Large orange pumpkin for jack-o-lanterns,15-25 lb fruits. Needs lots of space.,,"vegetable,fruiting,warm_season,annual"
Watermelon,Citrullus lanatus,Crimson Sweet,3,10,85,36,96,full_sun,medium,"Large, sweet watermelon",Needs warm soil. Space-hungry vine.,,"vegetable,fruiting,warm_season,annual"
Cantaloupe,Cucumis melo,Hale's Best,3,10,75,24,72,full_sun,medium,"Sweet, netted melon",Smells sweet when ripe. Slips from vine.,,"vegetable,fruiting,warm_season,annual"
Honeydew Melon,Cucumis melo,Honeydew,3,10,85,24,72,full_sun,medium,Sweet melon with smooth green skin,Slower to ripen than cantaloupe.,,"vegetable,fruiting,warm_season,annual"
Bean - Bush Green,Phaseolus vulgaris,Blue Lake,5,10,50,4,18,full_sun,medium,Compact bush bean plants,Direct sow after frost. Pick regularly.,,"vegetable,legume,warm_season,annual,nitrogen_fixing"
Bean - Pole Green,Phaseolus vulgaris,Kentucky Wonder,5,10,60,6,36,full_sun,medium,"Climbing bean, very productive",Requires trellis or poles. Long harvest period.,,"vegetable,legume,warm_season,annual,nitrogen_fixing"
Bean - Lima,Phaseolus lunatus,Fordhook 242,7,14,75,6,24,full_sun,medium,"Large, buttery beans",Needs warm soil. Bush variety available.,,"vegetable,legume,warm_season,annual,nitrogen_fixing"
Bean - Dry,Phaseolus vulgaris,Pinto,5,10,100,4,18,full_sun,medium,Beans for drying and storage,Let dry on vine. Harvest when pods are dry.,,"vegetable,legume,warm_season,annual,nitrogen_fixing"
Pea - Garden,Pisum sativum,Little Marvel,7,14,60,2,24,full_sun,medium,Sweet shelling peas,Cool season crop. Support recommended.,,"vegetable,legume,cool_season,annual,nitrogen_fixing,cold_hardy"
Pea - Snow,Pisum sativum,Oregon Sugar Pod,7,14,55,2,24,full_sun,medium,"Flat, edible pod peas",Harvest while pods are flat. Stir-fry favorite.,,"vegetable,legume,cool_season,annual,nitrogen_fixing,cold_hardy"
Pea - Snap,Pisum sativum,Sugar Ann,7,14,50,2,24,full_sun,medium,"Crisp, sweet edible pod peas",Eat pods and all. Very sweet.,,"vegetable,legume,cool_season,annual,nitrogen_fixing,cold_hardy"
Broccoli,Brassica oleracea,Calabrese,5,10,60,18,24,full_sun,medium,Green sprouting broccoli,"Harvest main head, then side shoots.",,"vegetable,brassica,cool_season,annual"
Cauliflower,Brassica oleracea,Snow Crown,5,10,70,18,24,full_sun,medium,White-headed cauliflower,Tie leaves over head to keep white.,,"vegetable,brassica,cool_season,annual"
Cabbage - Green,Brassica oleracea,Copenhagen Market,5,10,70,12,24,full_sun,medium,Round green cabbage,Cold hardy. Good for sauerkraut.,,"vegetable,brassica,cool_season,annual,cold_hardy"
Cabbage - Red,Brassica oleracea,Red Acre,5,10,75,12,24,full_sun,medium,Purple-red cabbage,Good for coleslaw and pickling.,,"vegetable,brassica,cool_season,annual,cold_hardy"
Brussels Sprouts,Brassica oleracea,Long Island Improved,5,10,100,18,30,full_sun,medium,Small cabbage-like sprouts on stalk,Improved flavor after frost. Tall plant.,,"vegetable,brassica,cool_season,annual,cold_hardy"
Kohlrabi,Brassica oleracea,Early White Vienna,5,10,55,6,12,full_sun,medium,"Swollen stem vegetable, mild flavor",Harvest when 2-3 inches diameter.,,"vegetable,brassica,cool_season,annual"
Sweet Corn,Zea mays,Silver Queen,7,14,92,12,30,full_sun,medium,White sweet corn,Plant in blocks for pollination. Pick when silks brown.,,"vegetable,grain,warm_season,annual"
Popcorn,Zea mays,Tom Thumb,7,14,95,12,30,full_sun,medium,Popcorn variety,Dry thoroughly before popping.,,"vegetable,grain,warm_season,annual"
Asparagus,Asparagus officinalis,Jersey Knight,21,42,730,18,60,full_sun,medium,Perennial spring vegetable,Takes 2 years to establish. Harvest for 20+ years.,,"vegetable,perennial,cool_season,cold_hardy"
Rhubarb,Rheum rhabarbarum,Victoria,0,0,730,36,48,full_sun,medium,Perennial tart vegetable used like fruit,Plant crowns. Don't harvest first year. Leaves toxic.,,"vegetable,perennial,cool_season,cold_hardy"
Eggplant,Solanum melongena,Black Beauty,7,14,80,24,30,full_sun,medium,Large purple eggplant,Needs warm soil. Harvest when glossy.,,"vegetable,fruiting,warm_season,annual"
Okra,Abelmoschus esculentus,Clemson Spineless,7,14,55,12,36,full_sun,low,Heat-loving vegetable,Very heat tolerant. Pick pods when small.,,"vegetable,fruiting,warm_season,annual"
Celery,Apium graveolens,Utah 52-70,14,21,100,8,24,full_sun,high,Crunchy stalks,Needs consistent moisture. Blanch stalks.,,"vegetable,cool_season,biennial"
Leek,Allium ampeloprasum,King Richard,7,14,120,6,12,full_sun,medium,Mild onion flavor,Hill soil around stems for blanching. Cold hardy.,,"vegetable,allium,cool_season,biennial"
Shallot,Allium cepa var. aggregatum,French Red,7,14,100,6,12,full_sun,medium,Delicate onion flavor,Divide bulbs before planting. Store well.,,"vegetable,allium,cool_season,perennial"
Artichoke,Cynara cardunculus var. scolymus,Green Globe,14,21,180,36,48,full_sun,medium,Edible flower buds,Perennial in zones 7+. Large plants need space.,,"vegetable,perennial,warm_season"
Bok Choy,Brassica rapa subsp. chinensis,Joi Choi,4,7,50,8,18,full_sun,medium,Asian greens,Quick growing. Best in cool weather.,,"vegetable,brassica,leafy_green,cool_season,annual"
Tomatillo,Physalis philadelphica,Purple,7,14,75,24,36,full_sun,medium,Tangy purple fruit for salsa,Plant 2+ for pollination. Remove papery husk when ripe.,,"vegetable,fruit,warm_season,annual"
Horseradish,Armoracia rusticana,Maliner Kren,0,0,365,18,30,full_sun,medium,Pungent root for condiments,Perennial. Plant root cuttings. Harvest in fall. Very invasive.,,"vegetable,root,perennial,cold_hardy"
Fennel,Foeniculum vulgare,Florence,7,14,80,12,18,full_sun,medium,Anise-flavored bulb,Harvest bulb when tennis ball size. Bolts in heat.,,"vegetable,cool_season,annual"
Kohlrabi,Brassica oleracea var. gongylodes,Winner,5,10,55,6,12,full_sun,medium,Crunchy stem vegetable,Harvest when 2-3 inches diameter. Cool season crop.,,"vegetable,brassica,cool_season,annual"
