common_name,scientific_name,variety_name,days_to_germination_min,days_to_germination_max,days_to_harvest,spacing_inches,row_spacing_inches,sun_requirement,water_requirement,description,growing_notes,photo_url,tags
Orange - Navel,Citrus × sinensis,Washington Navel,0,0,1095,180,240,full_sun,medium,Seedless sweet oranges,Perennial tree. Mature height: 15-20 feet. Root depth: deep. Zones 9-11. Self-fertile.,,"fruit,tree,perennial,warm_season"
Lime - Persian,Citrus × latifolia,Bearss,0,0,730,180,240,full_sun,medium,"Seedless, juicy limes",Perennial tree. Mature height: 15-20 feet. Root depth: medium. Zones 9-11. Self-fertile.,,"fruit,tree,perennial,warm_season"
Fig,Ficus carica,Brown Turkey,0,0,730,120,180,full_sun,medium,Sweet purple figs,Perennial tree/large shrub. Mature height: 10-15 feet. Root depth: deep. Zones 7-10. Self-fertile.,,"fruit,tree,perennial"
Persimmon - American,Diospyros virginiana,Meader,0,0,1460,240,360,full_sun,medium,"Sweet fall fruit, ornamental tree","Perennial tree. Mature height: 35-60 feet, spread: 20-35 feet. Root depth: deep. Very cold hardy zones 4-9.",,"fruit,tree,perennial,cold_hardy,ornamental"
Pawpaw,Asimina triloba,Sunflower,90,120,1825,180,240,partial_sun,medium,Tropical-tasting native fruit,Perennial tree. Mature height: 15-30 feet. Root depth: deep. Zones 5-9. Needs pollinator.,,"fruit,tree,perennial,cold_hardy,native"
Mulberry - Black,Morus nigra,Illinois Everbearing,21,35,1095,360,480,full_sun,medium,"Sweet berries, very productive","Perennial tree. Mature height: 30-50 feet, spread: 30-40 feet. Root depth: deep. Zones 5-9. Self-fertile.",,"fruit,tree,perennial,cold_hardy"
Maple - Sugar,Acer saccharum,Sugar Maple,30,90,7300,480,600,full_sun,medium,"Brilliant fall color, syrup production","Perennial tree. Mature height: 60-75 feet, spread: 40-50 feet. Root depth: deep. Zones 3-8. Sap harvested for syrup.",,"tree,shade,perennial,cold_hardy,native,hardwood"
Maple - Red,Acer rubrum,October Glory,30,90,3650,480,600,full_sun,medium,Fast-growing with red fall color,"Perennial tree. Mature height: 40-60 feet, spread: 30-50 feet. Root depth: medium. Zones 3-9. Adaptable.",,"tree,shade,perennial,cold_hardy,native,hardwood"
Maple - Norway,Acer platanoides,Crimson King,30,90,3650,480,600,full_sun,medium,Purple-leaved shade tree,"Perennial tree. Mature height: 40-50 feet, spread: 30-40 feet. Root depth: shallow. Zones 4-7. Can be invasive.",,"tree,shade,perennial,cold_hardy,invasive"
Ash - White,Fraxinus americana,Autumn Purple,30,60,5475,480,600,full_sun,medium,Purple fall foliage,"Perennial tree. Mature height: 50-80 feet, spread: 40-50 feet. Root depth: deep. Zones 3-9. Disease issues (Emerald Ash Borer).",,"tree,shade,perennial,cold_hardy,native,hardwood"
Birch - River,Betula nigra,Heritage,21,30,3650,300,420,full_sun,high,"Exfoliating bark, heat tolerant","Perennial tree. Mature height: 40-70 feet, spread: 40-60 feet. Root depth: shallow. Zones 4-9. Native, adaptable.",,"tree,shade,perennial,cold_hardy,native,ornamental"
Linden - American,Tilia americana,Basswood,60,120,7300,480,600,full_sun,medium,"Fragrant flowers, bee tree","Perennial tree. Mature height: 50-80 feet, spread: 30-50 feet. Root depth: deep. Zones 3-8. Attracts pollinators.",,"tree,shade,perennial,cold_hardy,native,pollinator"
Elm - American,Ulmus americana,Princeton,21,40,5475,600,720,full_sun,medium,Vase-shaped American classic,"Perennial tree. Mature height: 60-80 feet, spread: 40-60 feet. Root depth: deep. Zones 3-9. Dutch Elm Disease resistant.",,"tree,shade,perennial,cold_hardy,native,hardwood"
Sycamore - American,Platanus occidentalis,American Sycamore,21,40,5475,600,720,full_sun,high,Massive tree with exfoliating bark,"Perennial tree. Mature height: 75-100 feet, spread: 60-70 feet. Root depth: deep. Zones 4-9. Native, very large.",,"tree,shade,perennial,cold_hardy,native,hardwood"
Dogwood - Flowering,Cornus florida,Cloud Nine,90,120,1825,240,360,partial_sun,medium,"White spring flowers, red fall berries","Perennial tree. Mature height: 15-30 feet, spread: 15-25 feet. Root depth: shallow. Zones 5-9. Understory tree.",,"tree,ornamental,perennial,cold_hardy,native"
Redbud - Eastern,Cercis canadensis,Forest Pansy,30,60,1460,240,360,partial_sun,medium,"Purple foliage, pink spring flowers","Perennial tree. Mature height: 20-30 feet, spread: 25-35 feet. Root depth: medium. Zones 4-9. Native, early bloomer.",,"tree,ornamental,perennial,cold_hardy,native,nitrogen_fixing"
Magnolia - Saucer,Magnolia × soulangeana,Saucer Magnolia,60,90,1825,300,420,full_sun,medium,Large pink/white spring flowers,"Perennial tree. Mature height: 20-30 feet, spread: 20-30 feet. Root depth: shallow. Zones 4-9. Early bloomer.",,"tree,ornamental,perennial,cold_hardy"
Crabapple - Flowering,Malus 'Prairifire',Prairifire,0,0,1095,240,360,full_sun,medium,"Red flowers, disease resistant","Perennial tree. Mature height: 15-20 feet, spread: 15-20 feet. Root depth: medium. Zones 3-8. Ornamental.",,"tree,ornamental,fruit,perennial,cold_hardy"
Hawthorn,Crataegus viridis,Winter King,90,180,1825,240,360,full_sun,medium,"White flowers, red berries, vase shape","Perennial tree. Mature height: 20-35 feet, spread: 20-35 feet. Root depth: medium. Zones 4-7. Native, wildlife friendly.",,"tree,ornamental,fruit,perennial,cold_hardy,native"
Spruce - Norway,Picea abies,Norway Spruce,21,40,3650,240,360,full_sun,medium,Fast-growing evergreen windbreak,"Perennial evergreen. Mature height: 40-60 feet, spread: 25-30 feet. Root depth: shallow. Zones 3-7. Windbreak.",,"tree,evergreen,perennial,cold_hardy,windbreak"
Pine - White,Pinus strobus,Eastern White Pine,21,40,3650,300,420,full_sun,medium,"Soft needles, fast growing","Perennial evergreen. Mature height: 50-80 feet, spread: 20-40 feet. Root depth: deep. Zones 3-8. Native.",,"tree,evergreen,perennial,cold_hardy,native,softwood"
Fir - Douglas,Pseudotsuga menziesii,Douglas Fir,21,40,3650,360,480,full_sun,medium,"Tall evergreen, timber tree","Perennial evergreen. Mature height: 40-80 feet, spread: 12-20 feet. Root depth: deep. Zones 4-6. Native to west.",,"tree,evergreen,perennial,cold_hardy,native,softwood"
Arborvitae - American,Thuja occidentalis,Emerald Green,21,40,2555,48,96,full_sun,medium,Narrow evergreen for hedges,"Perennial evergreen. Mature height: 12-15 feet, spread: 3-4 feet. Root depth: shallow. Zones 2-7. Narrow columnar.",,"tree,evergreen,perennial,cold_hardy,native,hedge"
Cedar - Eastern Red,Juniperus virginiana,Eastern Red Cedar,60,90,3650,240,360,full_sun,low,Drought-tolerant native evergreen,"Perennial evergreen. Mature height: 30-65 feet, spread: 8-25 feet. Root depth: deep. Zones 2-9. Very adaptable.",,"tree,evergreen,perennial,cold_hardy,native,drought_tolerant"
Walnut - Black,Juglans nigra,Thomas,90,120,3650,600,720,full_sun,medium,"Native nut tree, valuable hardwood","Perennial tree. Mature height: 50-75 feet, spread: 50-75 feet. Root depth: very deep (tap root). Zones 4-9. Allelopathic (inhibits other plants).",,"tree,nut,perennial,cold_hardy,native,hardwood"
Pecan,Carya illinoinensis,Pawnee,60,90,2555,600,720,full_sun,medium,"Sweet pecans, early bearing","Perennial tree. Mature height: 70-100 feet, spread: 40-75 feet. Root depth: very deep. Zones 6-9. Needs long season.",,"tree,nut,perennial,native,hardwood"
Chestnut - Chinese,Castanea mollissima,Qing,30,60,1825,480,600,full_sun,medium,Blight-resistant chestnuts,"Perennial tree. Mature height: 40-60 feet, spread: 40-60 feet. Root depth: deep. Zones 4-8. Needs pollinator.",,"tree,nut,perennial,cold_hardy"
Hazelnut - American,Corylus americana,Rush,120,180,1095,180,240,partial_sun,medium,"Native filbert, large nuts","Perennial large shrub/small tree. Mature height: 10-15 feet, spread: 10-15 feet. Root depth: shallow. Zones 4-9. Sucker formation.",,"tree,nut,bush,perennial,cold_hardy,native"
Almond,Prunus dulcis,All-In-One,0,0,1460,240,360,full_sun,low,"Sweet almonds, self-fertile","Perennial tree. Mature height: 12-20 feet, spread: 15-20 feet. Root depth: deep. Zones 7-9. Drought tolerant.",,"tree,nut,perennial,drought_tolerant"
