common_name,scientific_name,variety_name,days_to_germination_min,days_to_germination_max,days_to_harvest,spacing_inches,row_spacing_inches,sun_requirement,water_requirement,description,growing_notes,photo_url,tags
Elderberry,Sambucus nigra,York,0,0,1095,72,120,full_sun,medium,Dark purple berries for syrup and wine,"Perennial shrub. Mature height: 8-12 feet, spread: 6-8 feet. Root depth: medium. Needs pollinator.",,"fruit,berry,bush,perennial,cold_hardy,medicinal"
Aronia - Black Chokeberry,Aronia melanocarpa,Viking,0,0,1095,48,96,full_sun,medium,Antioxidant-rich dark berries,Perennial shrub. Mature height: 3-6 feet. Extremely cold hardy. Beautiful fall color.,,"fruit,berry,bush,perennial,cold_hardy,medicinal"
Honeyberry,Lonicera caerulea,Tundra,0,0,1095,48,96,full_sun,medium,"Blue oblong berries, blueberry-like flavor",Perennial shrub. Mature height: 4-6 feet. Extremely cold hardy (-40°F). Needs pollinator.,,"fruit,berry,bush,perennial,cold_hardy"
Serviceberry,Amelanchier alnifolia,Northline,0,0,1460,96,144,full_sun,medium,"Sweet purple berries, ornamental flowers",Perennial shrub/small tree. Mature height: 10-15 feet. Very cold hardy. Wildlife friendly.,,"fruit,berry,bush,perennial,cold_hardy,ornamental"
Goji Berry,Lycium barbarum,Crimson Star,14,28,730,48,96,full_sun,low,Superfood red berries,Perennial shrub. Mature height: 6-10 feet. Drought tolerant once established.,,"fruit,berry,bush,perennial,medicinal,drought_tolerant"
Rose - Rugosa,Rosa rugosa,Hansa,0,0,730,48,72,full_sun,medium,"Fragrant flowers, large rose hips","Perennial shrub. Mature height: 4-6 feet. Very cold hardy. Hips edible, high in vitamin C.",,"fruit,ornamental,bush,perennial,cold_hardy,edible_flower"
Forsythia,Forsythia × intermedia,Lynwood Gold,0,0,730,72,96,full_sun,medium,Early spring yellow flowers,"Perennial shrub. Mature height: 8-10 feet, spread: 6-8 feet. Fast growing. Very cold hardy.",,"ornamental,bush,perennial,cold_hardy"
Lilac - Common,Syringa vulgaris,President Grevy,0,0,1095,96,144,full_sun,medium,Fragrant purple spring flowers,"Perennial shrub/small tree. Mature height: 12-15 feet, spread: 8-10 feet. Very cold hardy.",,"ornamental,bush,perennial,cold_hardy"
Hydrangea - Paniculata,Hydrangea paniculata,Limelight,0,0,730,72,96,partial_sun,high,Large white-to-pink flower cones,"Perennial shrub. Mature height: 6-8 feet, spread: 5-7 feet. Cold hardy. Blooms on new wood.",,"ornamental,bush,perennial,cold_hardy"
Butterfly Bush,Buddleja davidii,Black Knight,14,21,365,60,96,full_sun,low,Dark purple flowers attract butterflies,Perennial shrub. Mature height: 5-8 feet. Drought tolerant. May be invasive in some areas.,,"ornamental,bush,perennial,drought_tolerant,pollinator"
Rhododendron,Rhododendron catawbiense,Roseum Elegans,0,0,1095,72,96,partial_shade,medium,Large pink flower clusters,Perennial evergreen shrub. Mature height: 6-8 feet. Needs acidic soil. Shallow roots.,,"ornamental,bush,perennial,cold_hardy"
Azalea - Deciduous,Rhododendron prinophyllum,Roseshell,0,0,1095,48,72,partial_sun,medium,Fragrant pink flowers in spring,Perennial shrub. Mature height: 6-8 feet. Very cold hardy. Needs acidic soil.,,"ornamental,bush,perennial,cold_hardy"
Boxwood - American,Buxus sempervirens,Suffruticosa,0,0,1095,24,36,partial_sun,medium,Classic evergreen hedge plant,Perennial evergreen shrub. Mature height: 2-3 feet. Slow growing. Good for formal hedges.,,"ornamental,bush,perennial,cold_hardy"
Spirea - Bridal Wreath,Spiraea prunifolia,Plena,0,0,730,60,96,full_sun,medium,Cascading white spring flowers,"Perennial shrub. Mature height: 4-6 feet, spread: 5-8 feet. Very cold hardy. Low maintenance.",,"ornamental,bush,perennial,cold_hardy"
Weigela,Weigela florida,Wine and Roses,0,0,730,48,72,full_sun,medium,Dark foliage with pink flowers,"Perennial shrub. Mature height: 4-5 feet, spread: 4-5 feet. Cold hardy. Attracts hummingbirds.",,"ornamental,bush,perennial,cold_hardy,pollinator"
Juniper - Ground Cover,Juniperus horizontalis,Blue Rug,0,0,730,72,96,full_sun,low,Low-growing evergreen ground cover,"Perennial evergreen. Mature height: 4-6 inches, spread: 6-8 feet. Very drought tolerant.",,"ornamental,bush,perennial,evergreen,drought_tolerant,cold_hardy,ground_cover"
Yew - Japanese,Taxus cuspidata,Capitata,0,0,1095,60,96,partial_shade,medium,Dark green evergreen shrub,Perennial evergreen. Mature height: 10-15 feet. Very cold hardy. Toxic to livestock.,,"ornamental,bush,perennial,evergreen,cold_hardy"
Holly - Winterberry,Ilex verticillata,Winter Red,0,0,1095,60,96,full_sun,high,Deciduous holly with red berries,Perennial shrub. Mature height: 6-8 feet. Berries persist through winter. Needs male pollinator.,,"ornamental,bush,perennial,cold_hardy"
Arborvitae - Globe,Thuja occidentalis,Woodwardii,0,0,1095,36,60,full_sun,medium,Compact globe-shaped evergreen,"Perennial evergreen. Mature height: 3-4 feet, spread: 3-4 feet. Very cold hardy.",,"ornamental,bush,perennial,evergreen,cold_hardy"
